+/-,Account Id,TradingSymbol,NetQty,LastTradePrice,MarkToMarket,BuyQty,SellQty,SellAvgPrice,BuyAvgPrice,ProductType,BEP,IsInterOpPosition,Square Off Context,RealizedMarkToMarket,UnrealizedMarkToMarket,Indicator,Actual BuyAvgPrice,Exchg.Seg,Actual SellAvgPrice,Actual Buy Value,Actual Sell Value,Actual Mark To Market,Actual Realized MTM,Actual Unrealized MTM,SettlementType,Lot Size,Net Lots,Buy Lots,Sell Lots,
,PRO828-JAINAM,NIFTY 20JAN2026 PE 25300,0,6.20,33683.00,20280,20280,14.55,12.89,NRML,0.00,False,Included,33683.00,0.00,D,12.89,NSEFO,14.55,261391.00,295074.00,33683.00,33683.00,0.00,NA,65,0,312,312,
,PRO828-JAINAM,NIFTY 20JAN2026 CE 25750,0,14.40,73804.25,20280,20280,19.41,15.77,NRML,0.00,False,Included,73804.25,0.00,D,15.77,NSEFO,19.41,319881.25,393685.50,73804.25,73804.25,0.00,NA,65,0,312,312,
,PRO828-JAINAM,NIFTY 20JAN2026 PE 25000,0,2.25,1521.00,20280,20280,3.33,3.25,NRML,0.00,False,Included,1521.00,0.00,D,3.25,NSEFO,3.33,65910.00,67431.00,1521.00,1521.00,0.00,NA,65,0,312,312,
,PRO828-JAINAM,NIFTY 20JAN2026 CE 26050,0,2.30,-5957.25,20280,20280,3.55,3.84,NRML,0.00,False,Included,-5957.25,0.00,D,3.84,NSEFO,3.55,77951.25,71994.00,-5957.25,-5957.25,0.00,NA,65,0,312,312,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
