+/-,Account Id,TradingSymbol,NetQty,LastTradePrice,MarkToMarket,BuyQty,SellQty,SellAvgPrice,BuyAvgPrice,ProductType,BEP,IsInterOpPosition,Square Off Context,RealizedMarkToMarket,UnrealizedMarkToMarket,Indicator,Actual BuyAvgPrice,Exchg.Seg,Actual SellAvgPrice,Actual Buy Value,Actual Sell Value,Actual Mark To Market,Actual Realized MTM,Actual Unrealized MTM,SettlementType,Lot Size,Net Lots,Buy Lots,Sell Lots,
,PRO828-JAINAM,NIFTY 20JAN2026 CE 26000,0,2.80,76882.00,20280,20280,28.29,24.50,NRML,0.00,False,Included,76882.00,0.00,N,24.50,NSEFO,28.29,496931.50,573813.50,76882.00,76882.00,0.00,NA,65,0,312,312,
,PRO828-JAINAM,NIFTY 20JAN2026 PE 25300,0,6.20,33683.00,20280,20280,14.55,12.89,NRML,0.00,False,Included,33683.00,0.00,N,12.89,NSEFO,14.55,261391.00,295074.00,33683.00,33683.00,0.00,NA,65,0,312,312,
,PRO828-JAINAM,NIFTY 20JAN2026 PE 25400,0,15.05,232066.25,20280,20280,33.64,22.20,NRML,0.00,False,Included,232066.25,0.00,N,22.20,NSEFO,33.64,450186.75,682253.00,232066.25,232066.25,0.00,NA,65,0,312,312,
,PRO828-JAINAM,NIFTY 20JAN2026 CE 25750,0,14.40,73804.25,20280,20280,19.41,15.77,NRML,0.00,False,Included,73804.25,0.00,N,15.77,NSEFO,19.41,319881.25,393685.50,73804.25,73804.25,0.00,NA,65,0,312,312,
,PRO828-JAINAM,NIFTY 20JAN2026 CE 26400,0,1.30,-35152.00,20280,20280,3.32,5.05,NRML,0.00,False,Included,-35152.00,0.00,N,5.05,NSEFO,3.32,102414.00,67262.00,-35152.00,-35152.00,0.00,NA,65,0,312,312,
,PRO828-JAINAM,NIFTY 20JAN2026 PE 25000,0,2.25,-76472.50,40560,40560,4.45,6.34,NRML,0.00,False,Included,-76472.50,0.00,N,6.34,NSEFO,4.45,257049.00,180576.50,-76472.50,-76472.50,0.00,NA,65,0,624,624,
,PRO828-JAINAM,NIFTY 20JAN2026 CE 26050,0,2.30,-5957.25,20280,20280,3.55,3.84,NRML,0.00,False,Included,-5957.25,0.00,N,3.84,NSEFO,3.55,77951.25,71994.00,-5957.25,-5957.25,0.00,NA,65,0,312,312,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
