User Id,Entity Name,Product Type,Exchange,Option Type,Trading Symbol,Net Qty,Last Traded Price,Sell Avg Price,Buy Avg Price,Buy Qty,Sell Qty,Mark To Market,Buy Value,Sell Value,Total Turnover,Net Value,BEP,Instrument Name,Entity Type,Client Type,Strike Price,Option flag,RMS Square Off,Realized MTM,Unrealized MTM,Total Consideration,MTM (Base Currency),Realized MTM (Base Currency),Unrealised MTM (Base Currency),Buy Value (Base Currency),Sell Value (Base Currency),Net Value (Base Currency),Branch Id,Expiry,Actual Buy Avg Price,Actual Sell Avg Price,Actual Buy Value,Actual Sell Value,Actual Mark To Market,Actual Realized MTM,Actual Unrealized MTM,Lot Size,Net Lot,Buy Lot,Sell Lot,Security Id,Giveup Buy Qty,Giveup Sell Qty,Giveup Net Qty,
ZZJ17007,,NRML,NSEFO,CE,BANKNIFTY 24FEB2026 CE 62000,-60,94.45,93.23,0.00,0,60,-73.50,0.00,5593.50,5593.50,5593.50,93.23,OPTIDX,,Non_Institutionals,62000.00,OTM,Included,0.00,-73.50,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,24Feb2026,0.00,93.23,0.00,5593.50,-73.50,0.00,-73.50,30,-2,0,2,60365,0,0,0,
ZZJ16183,,NRML,NSEFO,CE,BANKNIFTY 24FEB2026 CE 62000,-60,94.45,92.75,0.00,0,60,-102.00,0.00,5565.00,5565.00,5565.00,92.75,OPTIDX,,Non_Institutionals,62000.00,OTM,Included,0.00,-102.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,24Feb2026,0.00,92.75,0.00,5565.00,-102.00,0.00,-102.00,30,-2,0,2,60365,0,0,0,
ZZJ17007,,NRML,NSEFO,PE,BANKNIFTY 24FEB2026 PE 59000,-60,98.50,100.70,0.00,0,60,132.00,0.00,6042.00,6042.00,6042.00,100.70,OPTIDX,,Non_Institutionals,59000.00,OTM,Included,0.00,132.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,24Feb2026,0.00,100.70,0.00,6042.00,132.00,0.00,132.00,30,-2,0,2,60209,0,0,0,
ZZJ16183,,NRML,NSEFO,CE,BANKNIFTY 24FEB2026 CE 61000,-60,344.00,334.23,0.00,0,60,-586.50,0.00,20053.50,20053.50,20053.50,334.23,OPTIDX,,Non_Institutionals,61000.00,OTM,Included,0.00,-586.50,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,24Feb2026,0.00,334.23,0.00,20053.50,-586.50,0.00,-586.50,30,-2,0,2,60268,0,0,0,
ZZJ16184,,NRML,NSEFO,PE,NIFTY 10FEB2026 PE 24850,0,0.10,0.30,0.30,6500,6500,0.00,1950.00,1950.00,3900.00,0.00,0.00,OPTIDX,,Non_Institutionals,24850.00,OTM,Included,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,10Feb2026,0.30,0.30,1950.00,1950.00,0.00,0.00,0.00,65,0,100,100,42493,0,0,0,
ZZJ16182,,MIS,NSEFO,CE,NIFTY 17FEB2026 CE 25900,0,170.05,205.77,179.01,1300,1300,34791.25,232709.75,267501.00,500210.75,34791.25,0.00,OPTIDX,,Non_Institutionals,25900.00,ITM,Included,34791.25,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,17Feb2026,179.01,205.77,232709.75,267501.00,34791.25,34791.25,0.00,65,0,20,20,48232,0,0,0,
ZZJ16184,,MIS,NSEFO,CE,NIFTY 10FEB2026 CE 26100,0,0.15,5.57,3.63,12350,12350,23965.50,44785.00,68750.50,113535.50,23965.50,0.00,OPTIDX,,Non_Institutionals,26100.00,OTM,Included,23965.50,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,10Feb2026,3.63,5.57,44785.00,68750.50,23965.50,23965.50,0.00,65,0,190,190,42552,0,0,0,
ZZJ16184,,MIS,NSEFO,CE,NIFTY 10FEB2026 CE 26000,0,0.55,9.00,17.00,1690,1690,-13520.00,28730.00,15210.00,43940.00,-13520.00,0.00,OPTIDX,,Non_Institutionals,26000.00,OTM,Included,-13520.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,10Feb2026,17.00,9.00,28730.00,15210.00,-13520.00,-13520.00,0.00,65,0,26,26,42546,0,0,0,
ZZJ16182,,MIS,NSEFO,CE,NIFTY 10FEB2026 CE 25700,0,244.65,258.25,254.16,9425,9425,38593.75,2395419.00,2434012.75,4829431.75,38593.75,0.00,OPTIDX,,Non_Institutionals,25700.00,ITM,Included,38593.75,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,10Feb2026,254.16,258.25,2395419.00,2434012.75,38593.75,38593.75,0.00,65,0,145,145,42530,0,0,0,
ZZJ16182,,MIS,NSEFO,PE,NIFTY 17FEB2026 PE 24200,0,4.65,5.90,6.16,1300,1300,-338.00,8008.00,7670.00,15678.00,-338.00,0.00,OPTIDX,,Non_Institutionals,24200.00,OTM,Included,-338.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,17Feb2026,6.16,5.90,8008.00,7670.00,-338.00,-338.00,0.00,65,0,20,20,48133,0,0,0,
