Account Id,Exchange,Trading Symbol,Product Type,Net Qty,Last Traded Price,Buy Qty,Sell Qty,Buy Value,Sell Value,Mark To Market,Total Turnover,Net Value,Buy Avg Price,Sell Avg Price,BEP,Instrument Name,Entity Type,Client Type,Option Type,Strike Price,Option flag,RMS Square Off,Realized MTM,Unrealized MTM,Total Consideration,MTM (Base Currency),Realized MTM (Base Currency),Unrealised MTM (Base Currency),Buy Value (Base Currency),Sell Value (Base Currency),Net Value (Base Currency),Branch Id,Expiry,Actual Buy Avg Price,Actual Sell Avg Price,Actual Buy Value,Actual Sell Value,Actual Mark To Market,Actual Realized MTM,Actual Unrealized MTM,Lot Size,Net Lot,Buy Lot,Sell Lot,Security Id,Giveup Buy Qty,Giveup Sell Qty,Giveup Net Qty,
PR05,NSEFO,NIFTY 17FEB2026 CE 25750,NRML,-975,158.65,845,1820,137124.00,257257.00,-34550.75,394381.00,120133.00,162.28,141.35,123.21,OPTIDX,,Non_Institutionals,CE,25750.00,ITM,Included,-17683.25,-16867.50,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,17Feb2026,162.28,141.35,137124.00,257257.00,-34550.75,-17683.25,-16867.50,65,-15,13,28,48226,0,0,0,
PR05,NSEFO,NIFTY 17FEB2026 CE 25800,NRML,-975,128.25,2665,3640,374478.00,508644.50,9122.75,883122.50,134166.50,140.52,139.74,137.61,OPTIDX,,Non_Institutionals,CE,25800.00,ATM,Included,-2077.56,11200.31,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,17Feb2026,140.52,139.74,374478.00,508644.50,9122.75,-2077.56,11200.31,65,-15,41,56,48228,0,0,0,
PR20,NSEFO,NIFTY 17FEB2026 CE 26000,NRML,-780,46.45,1560,2340,167924.25,323599.25,119444.00,491523.50,155675.00,107.64,138.29,199.58,OPTIDX,,Non_Institutionals,CE,26000.00,OTM,Included,47808.58,71635.42,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,17Feb2026,107.64,138.29,167924.25,323599.25,119444.00,47808.58,71635.42,65,-12,24,36,48236,0,0,0,
PR20,NSEFO,NIFTY 17FEB2026 CE 25800,NRML,-390,128.25,65,455,8134.75,68149.25,9997.00,76284.00,60014.50,125.15,149.78,153.88,OPTIDX,,Non_Institutionals,CE,25800.00,ATM,Included,1600.86,8396.14,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,17Feb2026,125.15,149.78,8134.75,68149.25,9997.00,1600.86,8396.14,65,-6,1,7,48228,0,0,0,
PR20,NSEFO,NIFTY 17FEB2026 CE 25950,NRML,-390,61.10,2015,2405,255219.25,346934.25,67886.00,602153.50,91715.00,126.66,144.26,235.17,OPTIDX,,Non_Institutionals,CE,25950.00,OTM,Included,35455.39,32430.61,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,17Feb2026,126.66,144.26,255219.25,346934.25,67886.00,35455.39,32430.61,65,-6,31,37,48234,0,0,0,
PR24,BSEFO,SENSEX 12FEB2026 CE 83800,MIS,-300,0.05,1320,1620,77263.00,106215.00,28937.00,183478.00,28952.00,58.53,65.56,96.51,IO,,Non_Institutionals,CE,83800.00,OTM,Included,9282.56,19654.44,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,58.53,65.56,77263.00,106215.00,28937.00,9282.56,19654.44,20,-15,66,81,825592,0,0,0,
PR24,BSEFO,SENSEX 12FEB2026 PE 83500,MIS,-200,0.05,200,400,2210.00,3680.00,1460.00,5890.00,1470.00,11.05,9.20,7.35,IO,,Non_Institutionals,PE,83500.00,OTM,Included,-370.00,1830.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,11.05,9.20,2210.00,3680.00,1460.00,-370.00,1830.00,20,-10,10,20,828414,0,0,0,
PR05,BSEFO,SENSEX 12FEB2026 PE 83300,NRML,-200,0.05,1720,1920,209942.00,439266.00,229314.00,649208.00,229324.00,122.06,228.78,1146.62,IO,,Non_Institutionals,PE,83300.00,OTM,Included,183567.13,45746.88,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,122.06,228.78,209942.00,439266.00,229314.00,183567.13,45746.88,20,-10,86,96,827963,0,0,0,
PR20,NSEFO,NIFTY 17FEB2026 PE 25900,NRML,-130,143.60,3315,3445,395128.50,397861.75,-15934.75,792990.25,2733.25,119.19,115.49,21.03,OPTIDX,,Non_Institutionals,PE,25900.00,ITM,Included,-12280.40,-3654.35,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,17Feb2026,119.19,115.49,395128.50,397861.75,-15934.75,-12280.40,-3654.35,65,-2,51,53,48233,0,0,0,
PR20,NSEFO,NIFTY 17FEB2026 CE 25750,NRML,-130,158.65,0,130,0.00,24563.50,3939.00,24563.50,24563.50,0.00,188.95,188.95,OPTIDX,,Non_Institutionals,CE,25750.00,ITM,Included,0.00,3939.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,17Feb2026,0.00,188.95,0.00,24563.50,3939.00,0.00,3939.00,65,-2,0,2,48226,0,0,0,
PR05,BSEFO,SENSEX 12FEB2026 CE 84300,NRML,-100,0.05,620,720,58655.00,113437.00,54777.00,172092.00,54782.00,94.60,157.55,547.82,IO,,Non_Institutionals,CE,84300.00,OTM,Included,39026.86,15750.14,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,94.60,157.55,58655.00,113437.00,54777.00,39026.86,15750.14,20,-5,31,36,831199,0,0,0,
PR05,BSEFO,SENSEX 12FEB2026 CE 84200,NRML,-100,0.05,920,1020,238730.00,267010.00,28275.00,505740.00,28280.00,259.49,261.77,282.80,IO,,Non_Institutionals,CE,84200.00,OTM,Included,2102.55,26172.45,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,259.49,261.77,238730.00,267010.00,28275.00,2102.55,26172.45,20,-5,46,51,828461,0,0,0,
PR25,BSEFO,SENSEX 12FEB2026 CE 83700,NRML,-20,0.05,0,20,0.00,2054.00,2053.00,2054.00,2054.00,0.00,102.70,102.70,IO,,Non_Institutionals,CE,83700.00,ATM,Included,0.00,2053.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,0.00,102.70,0.00,2054.00,2053.00,0.00,2053.00,20,-1,0,1,827331,0,0,0,
PR25,BSEFO,SENSEX 12FEB2026 PE 83700,NRML,-20,25.10,0,20,0.00,981.00,479.00,981.00,981.00,0.00,49.05,49.05,IO,,Non_Institutionals,PE,83700.00,ATM,Included,0.00,479.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,0.00,49.05,0.00,981.00,479.00,0.00,479.00,20,-1,0,1,824886,0,0,0,
PR25,BSEFO,SENSEX 12FEB2026 CE 83900,NRML,-20,0.05,0,20,0.00,2687.00,2686.00,2687.00,2687.00,0.00,134.35,134.35,IO,,Non_Institutionals,CE,83900.00,OTM,Included,0.00,2686.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,0.00,134.35,0.00,2687.00,2686.00,0.00,2686.00,20,-1,0,1,827778,0,0,0,
PR04,BSEFO,SENSEX 12FEB2026 PE 82400,MIS,0,0.05,13900,13900,50824.00,48575.00,-2249.00,99399.00,-2249.00,3.66,3.49,0.00,IO,,Non_Institutionals,PE,82400.00,OTM,Included,-2249.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,3.66,3.49,50824.00,48575.00,-2249.00,-2249.00,0.00,20,0,695,695,829118,0,0,0,
PR20,NSEFO,NIFTY 17FEB2026 CE 26350,NRML,0,8.85,780,780,14605.50,8658.00,-5947.50,23263.50,-5947.50,18.73,11.10,0.00,OPTIDX,,Non_Institutionals,CE,26350.00,OTM,Included,-5947.50,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,17Feb2026,18.73,11.10,14605.50,8658.00,-5947.50,-5947.50,0.00,65,0,12,12,48250,0,0,0,
PR05,BSEFO,SENSEX 12FEB2026 PE 83500,NRML,0,0.05,200,200,6440.00,2930.00,-3510.00,9370.00,-3510.00,32.20,14.65,0.00,IO,,Non_Institutionals,PE,83500.00,OTM,Included,-3510.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,32.20,14.65,6440.00,2930.00,-3510.00,-3510.00,0.00,20,0,10,10,828414,0,0,0,
