User Id,Entity Name,Product Type,Exchange,Option Type,Trading Symbol,Net Qty,Last Traded Price,Sell Avg Price,Buy Avg Price,Buy Qty,Sell Qty,Mark To Market,Buy Value,Sell Value,Total Turnover,Net Value,BEP,Instrument Name,Entity Type,Client Type,Strike Price,Option flag,RMS Square Off,Realized MTM,Unrealized MTM,Total Consideration,MTM (Base Currency),Realized MTM (Base Currency),Unrealised MTM (Base Currency),Buy Value (Base Currency),Sell Value (Base Currency),Net Value (Base Currency),Branch Id,Expiry,Actual Buy Avg Price,Actual Sell Avg Price,Actual Buy Value,Actual Sell Value,Actual Mark To Market,Actual Realized MTM,Actual Unrealized MTM,Lot Size,Net Lot,Buy Lot,Sell Lot,Security Id,Giveup Buy Qty,Giveup Sell Qty,Giveup Net Qty,
ZZJ16182,,MIS,NSEFO,CE,NIFTY 17FEB2026 CE 25950,0,142.75,174.63,166.29,3900,3900,32529.25,648537.50,681066.75,1329604.25,32529.25,0.00,OPTIDX,,Non_Institutionals,25950.00,ATM,Included,32529.25,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,17Feb2026,166.29,174.63,648537.50,681066.75,32529.25,32529.25,0.00,65,0,60,60,48234,0,0,0,
ZZJ16182,,NRML,NSEFO,CE,NIFTY 10FEB2026 CE 26000,0,0.55,62.05,134.39,650,650,-47017.75,87350.25,40332.50,127682.75,-47017.75,0.00,OPTIDX,,Non_Institutionals,26000.00,OTM,Included,-47017.75,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,10Feb2026,134.39,62.05,87350.25,40332.50,-47017.75,-47017.75,0.00,65,0,10,10,42546,0,0,0,
ZZJ16182,,MIS,NSEFO,PE,NIFTY 17FEB2026 PE 25700,0,52.95,65.32,65.74,1300,1300,-539.50,85455.50,84916.00,170371.50,-539.50,0.00,OPTIDX,,Non_Institutionals,25700.00,OTM,Included,-539.50,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,17Feb2026,65.74,65.32,85455.50,84916.00,-539.50,-539.50,0.00,65,0,20,20,48225,0,0,0,
DLL13516,,NRML,NSEFO,PE,NIFTY 10FEB2026 PE 25300,0,0.10,2.18,9.15,10140,10140,-70726.50,92781.00,22054.50,114835.50,-70726.50,0.00,OPTIDX,,Non_Institutionals,25300.00,OTM,Included,-70726.50,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,10Feb2026,9.15,2.18,92781.00,22054.50,-70726.50,-70726.50,0.00,65,0,156,156,42513,0,0,0,
DLL13516,,NRML,NSEFO,CE,NIFTY 10FEB2026 CE 26000,0,0.55,24.87,26.55,13520,13520,-22675.25,358952.75,336277.50,695230.25,-22675.25,0.00,OPTIDX,,Non_Institutionals,26000.00,OTM,Included,-22675.25,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,10Feb2026,26.55,24.87,358952.75,336277.50,-22675.25,-22675.25,0.00,65,0,208,208,42546,0,0,0,
ZZJ16184,,MIS,NSEFO,CE,NIFTY 10FEB2026 CE 26600,0,0.10,0.80,0.90,6500,6500,-650.00,5850.00,5200.00,11050.00,-650.00,0.00,OPTIDX,,Non_Institutionals,26600.00,OTM,Included,-650.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,10Feb2026,0.90,0.80,5850.00,5200.00,-650.00,-650.00,0.00,65,0,100,100,42576,0,0,0,
ZZJ16182,,NRML,NSEFO,CE,NIFTY 24FEB2026 CE 24100,0,1913.30,1070.58,1741.03,650,650,-435795.75,1131669.50,695873.75,1827543.25,-435795.75,0.00,OPTIDX,,Non_Institutionals,24100.00,ITM,Included,-435795.75,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,24Feb2026,1741.03,1070.58,1131669.50,695873.75,-435795.75,-435795.75,0.00,65,0,10,10,64792,0,0,0,
ZZJ16184,,MIS,NSEFO,PE,NIFTY 10FEB2026 PE 25000,0,0.10,0.35,1.45,5850,5850,-6435.00,8482.50,2047.50,10530.00,-6435.00,0.00,OPTIDX,,Non_Institutionals,25000.00,OTM,Included,-6435.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,10Feb2026,1.45,0.35,8482.50,2047.50,-6435.00,-6435.00,0.00,65,0,90,90,42501,0,0,0,
ZZJ16184,,NRML,NSEFO,CE,NIFTY 10FEB2026 CE 25850,0,96.55,76.50,82.00,4030,4030,-22178.00,330460.00,308282.00,638742.00,-22178.00,0.00,OPTIDX,,Non_Institutionals,25850.00,ITM,Included,-22178.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,10Feb2026,82.00,76.50,330460.00,308282.00,-22178.00,-22178.00,0.00,65,0,62,62,42538,0,0,0,
ZZJ16182,,MIS,NSEFO,CE,NIFTY 17FEB2026 CE 26100,0,76.35,82.79,99.59,1300,1300,-21840.00,129467.00,107627.00,237094.00,-21840.00,0.00,OPTIDX,,Non_Institutionals,26100.00,OTM,Included,-21840.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,AFSL,17Feb2026,99.59,82.79,129467.00,107627.00,-21840.00,-21840.00,0.00,65,0,20,20,48240,0,0,0,
