+/-,Account Id,TradingSymbol,NetQty,LastTradePrice,MarkToMarket,BuyQty,SellQty,SellAvgPrice,BuyAvgPrice,ProductType,BEP,IsInterOpPosition,Square Off Context,RealizedMarkToMarket,UnrealizedMarkToMarket,Indicator,Actual BuyAvgPrice,Exchg.Seg,Actual SellAvgPrice,Actual Buy Value,Actual Sell Value,Actual Mark To Market,Actual Realized MTM,Actual Unrealized MTM,SettlementType,Lot Size,Net Lots,Buy Lots,Sell Lots,
,PRO828-JAINAM,SENSEX 22JAN2026 PE 80800,-6000,29.85,17009.00,0,6000,32.68,0.00,NRML,32.68,False,Included,0.00,17009.00,D,0.00,BSEFO,32.68,0.00,196109.00,17009.00,0.00,17009.00,NA,20,-300,0,300,
,PRO828-JAINAM,SENSEX 22JAN2026 CE 83600,-6000,30.00,-20730.00,0,6000,26.55,0.00,NRML,26.55,False,Included,0.00,-20730.00,D,0.00,BSEFO,26.55,0.00,159270.00,-20730.00,0.00,-20730.00,NA,20,-300,0,300,
,PRO828-JAINAM,NIFTY 20JAN2026 PE 25100,0,0.45,-9379.50,20280,20280,1.29,1.75,NRML,0.00,False,Included,-9379.50,0.00,D,1.75,NSEFO,1.29,35490.00,26110.50,-9379.50,-9379.50,0.00,NA,65,0,312,312,
,PRO828-JAINAM,NIFTY 20JAN2026 CE 25900,0,0.15,-26786.50,20280,20280,1.41,2.73,NRML,0.00,False,Included,-26786.50,0.00,D,2.73,NSEFO,1.41,55432.00,28645.50,-26786.50,-26786.50,0.00,NA,65,0,312,312,
,PRO828-JAINAM,NIFTY 20JAN2026 PE 25300,0,24.05,74191.00,20280,20280,8.40,4.74,NRML,0.00,False,Included,74191.00,0.00,D,4.74,NSEFO,8.40,96161.00,170352.00,74191.00,74191.00,0.00,NA,65,0,312,312,
,PRO828-JAINAM,NIFTY 20JAN2026 CE 25650,0,0.25,88471.50,18590,18590,12.11,7.35,NRML,0.00,False,Included,88471.50,0.00,D,7.35,NSEFO,12.11,136721.00,225192.50,88471.50,88471.50,0.00,NA,65,0,286,286,
,PRO828-JAINAM,SENSEX 22JAN2026 CE 84300,6000,12.30,3971.00,6000,0,0.00,11.64,NRML,11.64,False,Included,0.00,3971.00,D,11.64,BSEFO,0.00,69829.00,0.00,3971.00,0.00,3971.00,NA,20,300,300,0,
,PRO828-JAINAM,SENSEX 22JAN2026 PE 79800,6000,11.40,-11843.00,6000,0,0.00,13.37,NRML,13.37,False,Included,0.00,-11843.00,D,13.37,BSEFO,0.00,80243.00,0.00,-11843.00,0.00,-11843.00,NA,20,300,300,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
